,latitude,longitude,radius
0,-12.0621065,-77.0365256,1
1,23.7644025,90.389015,0
2,43.6534817,-79.3839347,0
3,1.2899175,103.8519072,0
4,45.9383,3.2553,0
5,31.8228094,117.2218033,1
6,22.3336887,91.8342162,1
7,30.5951051,114.2999353,1
8,23.0216238,72.5797068,2
9,-1.30325275,36.82636768555869,1
10,9.0107934,38.7612525,2
11,59.938732,30.316229,1
12,30.6598628,104.0633717,1
13,5.320357,-4.016107,2
14,23.6585116,-102.0077097,0
15,39.906217,116.3912757,2
16,15.5635972,32.5349123,0
17,33.3061701,44.3872213,0
18,39.9527237,-75.1635262,1
19,36.6507007,117.1140042,0
20,-6.1753942,106.827183,1
21,34.0536909,-118.242766,2
22,30.0443879,31.2357257,0
23,28.1450774,113.2384362,2
24,30.2489634,120.2052342,0
25,29.7589382,-95.3676974,2
26,17.360589,78.4740613,1
27,39.3032619,117.4163641,2
28,35.6828387,139.7594549,2
29,20.6720375,-103.338396,2
30,48.8588897,2.3200410217200766,1
31,28.6517178,77.2219388,2
32,36.0638034,120.3781372,0
33,32.0615652,118.7915079,1
34,9.8694792,-83.7980749,1
35,-8.8272699,13.2439512,1
36,35.6892523,51.3896004,0
37,25.6802019,-100.315258,1
38,34.7487244,113.6191483,1
39,-34.6075682,-58.4370894,1
40,25.7741728,-80.19362,0
41,24.8843019,102.8324209,0
42,3.1516964,101.6942371,2
43,40.7127281,-74.0060152,1
44,31.2322758,121.4692071,1
45,31.3016935,120.5810725,1
46,38.9181714,121.6282945,2
47,33.5898988,130.4017509,2
48,23.1301964,113.2592945,2
49,23.356377,116.6775918,1
50,23.0239788,113.1159558,1
51,34.1651738,134.4551253,0
52,6.4550575,3.3941795,2
53,41.3828939,2.1774322,0
54,37.5666791,126.9782914,2
55,23.0205969,113.7457788,0
56,39.9207886,32.8540482,2
57,29.5647398,106.5478767,1
58,22.5726723,88.3638815,1
59,-10.3333333,-53.2,0
60,16.7967129,96.1609916,0
61,41.6749893,123.458674,1
62,22.5445741,114.0545429,1
63,40.4167047,-3.7035825,2
64,-23.5506507,-46.6333824,0
65,41.0091982,28.9662187,2
66,38.8051095,-77.0470229,0
67,10.7758439,106.7017555,2
68,-4.3217055,15.3125974,1
69,43.8130735,125.3171216,0
70,-19.9227318,-43.9450948,2
71,55.7504461,37.6174943,1
72,13.7524938,100.4935089,1
